,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
2706,Open Circuits: The Inner Beauty of Electronic Components,Eric Schlaepfer,Engineering,Electrical & Electronic Engineering,Hardcover,"₹2,726.00",4.8,704,https://www.amazon.in/Open-Circuits-Beauty-Electronic-Components/dp/1718502346/ref=zg_bs_g_4149474031_d_sccl_7/000-0000000-0000000?psc=1
2707,"Data Structures and Algorithms in Python, An Indian Adaptation",Michael T. Goodrich,Engineering,Electrical & Electronic Engineering,Paperback,₹662.00,4.5,226,https://www.amazon.in/Structures-Algorithms-Python-Indian-Adaptation/dp/9354247865/ref=zg_bs_g_4149474031_d_sccl_8/000-0000000-0000000?psc=1
2750,CUET-PG : MA English Entrance Exam Guide,RPH Editorial Board,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹220.00,4.2,173,https://www.amazon.in/CUET-PG-English-Entrance-Exam-Guide/dp/9354771858/ref=zg_bs_g_22934500031_d_sccl_1/000-0000000-0000000?psc=1
2751,CUET-PG: MA/M.Sc Economics (Test Paper Code PGQP44) Entrance Exam Guide,RPH Editorial Board,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹228.00,3.3,17,https://www.amazon.in/CUET-PG-Economics-Paper-PGQP44-Entrance/dp/9354773222/ref=zg_bs_g_22934500031_d_sccl_2/000-0000000-0000000?psc=1
2752,Arihant Maharashtra MAH-CET B.Ed Common Entrance Test 2024,Arihant Publication,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹220.00,4,4,https://www.amazon.in/Arihant-Maharashtra-MAH-CET-Common-Entrance/dp/B0C7R8ZLXD/ref=zg_bs_g_22934500031_d_sccl_3/000-0000000-0000000?psc=1
2753,CUET-PG: MA English – Previous Years’ Papers & Practice Papers (Solved),RPH Editorial Board,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹112.00,4.4,71,https://www.amazon.in/CUCET-M-English-Previous-Practice/dp/9354770894/ref=zg_bs_g_22934500031_d_sccl_4/000-0000000-0000000?psc=1
2754,CUET-PG: MA-History/MA-History & Archaeology Entrance Exam Guide,RPH Editorial Board,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹267.00,4.2,56,https://www.amazon.in/CUCET-MA-History-Archaeology-Entrance-Guide/dp/9390744970/ref=zg_bs_g_22934500031_d_sccl_5/000-0000000-0000000?psc=1
2755,CUET-PG: Part-A (General) Entrance Exam Guide (For All CUET-PG Entrance Exams),RPH Editorial Board,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹210.00,3.9,25,https://www.amazon.in/CUET-PG-Part-General-Entrance-Guide/dp/935477332X/ref=zg_bs_g_22934500031_d_sccl_6/000-0000000-0000000?psc=1
2756,CUET-PG: MA - Political Science/Public Administration/Politics & International Relations Entrance Exam Guide,RPH Editorial Board,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹175.00,3.7,94,https://www.amazon.in/CUCET-MA-Political-Administration-International-Relations/dp/935477184X/ref=zg_bs_g_22934500031_d_sccl_7/000-0000000-0000000?psc=1
2757,NTA CUET PG B.Ed Guide 2023 Exam,Arihant Expert,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹294.00,3.6,15,https://www.amazon.in/CUET-B-Ed-Guide-2023-Exam/dp/9388129644/ref=zg_bs_g_22934500031_d_sccl_8/000-0000000-0000000?psc=1
2758,CUET-PG : MA/M.Sc/M.Sc B.Ed Mathematics Entrance Exam Guide,RPH Editorial Board,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹263.00,3.8,50,https://www.amazon.in/CUET-PG-M-Sc-Mathematics-Entrance-Guide/dp/9390744865/ref=zg_bs_g_22934500031_d_sccl_9/000-0000000-0000000?psc=1
2759,Examcart Latest Jharkhand B.ed Combined Entrance Guidebook for 2024 Exam,Examcart Experts,Exam Preparation,"Arts, Design and Education Exams",Paperback,₹175.00,4,23,https://www.amazon.in/Examcart-Jharkhand-Combined-Entrance-Guidebook/dp/9357031294/ref=zg_bs_g_22934500031_d_sccl_10/000-0000000-0000000?psc=1
2950,Harry Potter and the Philosopher's Stone,J.K. Rowling,"Fantasy, Horror & Science Fiction",Fantasy,Kindle Edition,₹313.95,4.7,107802,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_1318163031_d_sccl_1/000-0000000-0000000?psc=1
2951,The Cruel Prince (The Folk of the Air),Holly Black,"Fantasy, Horror & Science Fiction",Fantasy,Kindle Edition,₹310.78,4.5,41642,https://www.amazon.in/Cruel-Prince-Folk-Air-ebook/dp/B071XQ6H38/ref=zg_bs_g_1318163031_d_sccl_2/000-0000000-0000000?psc=1
2952,Before the Coffee Gets Cold,Toshikazu Kawaguchi,"Fantasy, Horror & Science Fiction",Fantasy,Paperback,₹361.00,4.3,16402,https://www.amazon.in/Before-Coffee-Gets-Toshikazu-Kawaguchi/dp/1035035057/ref=zg_bs_g_1318163031_d_sccl_3/000-0000000-0000000?psc=1
2953,The Kalki Trilogy Set of 3 Books Avatar of Vishnu Eye of Brahma Sword of Shiva,Kevin Missal,"Fantasy, Horror & Science Fiction",Fantasy,Paperback,₹599.00,4.4,195,https://www.amazon.in/Kalki-Trilogy-Set-Books-Avatar/dp/9354407331/ref=zg_bs_g_1318163031_d_sccl_4/000-0000000-0000000?psc=1
3043,The Seven Year Slip: The new laugh-out-loud rom-com from the New York Times bestselling author of THE DEAD ROMANTICS,Ashley Poston,"Fantasy, Horror & Science Fiction",Horror,Kindle Edition,₹463.04,4.4,969,https://www.amazon.in/Seven-Year-Slip-laugh-out-loud-bestselling-ebook/dp/B0BKPKWD3Y/ref=zg_bs_g_1318165031_d_sccl_14/000-0000000-0000000?psc=1
3044,Family Business: A horror full of creeping dread from the mind behind Thirteen Storeys and The Magnus Archives,Jonathan Sims,"Fantasy, Horror & Science Fiction",Horror,Paperback,₹305.15,4.5,209,https://www.amazon.in/Family-Business-creeping-Thirteen-Archives/dp/1473228794/ref=zg_bs_g_1318165031_d_sccl_15/000-0000000-0000000?psc=1
3045,Uff Kolkata । उफ़्फ़ कोलकाता (Hindi Edition),Satya Vyas,"Fantasy, Horror & Science Fiction",Horror,Kindle Edition,₹124.45,4.3,702,https://www.amazon.in/Uff-Kolkata-%E0%A4%89%E0%A4%AB%E0%A4%BC%E0%A5%8D%E0%A4%AB%E0%A4%BC-%E0%A4%95%E0%A5%8B%E0%A4%B2%E0%A4%95%E0%A4%BE%E0%A4%A4%E0%A4%BE-Hindi-ebook/dp/B08QMLYKCT/ref=zg_bs_g_1318165031_d_sccl_16/000-0000000-0000000?psc=1
3046,Metamorphosis (Pocket Classics),Franz Kafka,"Fantasy, Horror & Science Fiction",Horror,Paperback,₹80.00,5,1,https://www.amazon.in/Metamorphosis-Pocket-Classics-Franz-Kafka/dp/8119623037/ref=zg_bs_g_1318165031_d_sccl_17/000-0000000-0000000?psc=1
3047,Mated to the Alpha King (A Royal's Tale Book 1),Jennise K,"Fantasy, Horror & Science Fiction",Horror,Kindle Edition,₹441.00,4.2,1478,https://www.amazon.in/Mated-Alpha-King-Jennise-K-ebook/dp/B01MQL2WPX/ref=zg_bs_g_1318165031_d_sccl_18/000-0000000-0000000?psc=1
3048,The Haunting of Delhi City: Tales of the Supernatural,Jatin Bhasin,"Fantasy, Horror & Science Fiction",Horror,Kindle Edition,₹171.09,4.1,113,https://www.amazon.in/Haunting-Delhi-City-Tales-Supernatural-ebook/dp/B0BN4MKBX3/ref=zg_bs_g_1318165031_d_sccl_19/000-0000000-0000000?psc=1
3049,Shunya: A Novel,Sri M,"Fantasy, Horror & Science Fiction",Horror,Kindle Edition,₹251.10,4.3,1776,https://www.amazon.in/Shunya-Novel-Sri-M-ebook/dp/B0B5LFVQL7/ref=zg_bs_g_1318165031_d_sccl_20/000-0000000-0000000?psc=1
3050,How to Finish Everything You Start,Jan Yager,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹228.00,4.1,230,https://www.amazon.in/How-Finish-Everything-You-Start-ebook/dp/B07MB1C99V/ref=zg_bs_g_1318132031_d_sccl_1/000-0000000-0000000?psc=1
3051,Atomic Habits,James Clear,"Health, Family & Personal Development",Personal Transformation,Paperback,₹510.00,4.6,90104,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_1318132031_d_sccl_2/000-0000000-0000000?psc=1
3052,The Power of Your Subconscious Mind: Original Edition | Premium Paperback,Joseph Murphy,"Health, Family & Personal Development",Personal Transformation,Paperback,₹115.00,4.5,81265,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_g_1318132031_d_sccl_3/000-0000000-0000000?psc=1
3053,Ikigai,Francesc Miralles,"Health, Family & Personal Development",Personal Transformation,Hardcover,₹368.00,4.6,52889,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_1318132031_d_sccl_4/000-0000000-0000000?psc=1
3054,"Understanding Body Language: How to Decode Nonverbal Communication in Life, Love, and Work",Scott  Rouse,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹215.00,4.5,1292,https://www.amazon.in/Understanding-Body-Language-Nonverbal-Communication-ebook/dp/B08PHGDPY7/ref=zg_bs_g_1318132031_d_sccl_5/000-0000000-0000000?psc=1
3055,The 7 Habits of Highly Effective People: Infographics Edition: Powerful Lessons in Personal Change,Stephen R. Covey,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹136.78,4.5,18213,https://www.amazon.in/Habits-Highly-Effective-People-Powerful-ebook/dp/B01069X4H0/ref=zg_bs_g_1318132031_d_sccl_6/000-0000000-0000000?psc=1
3056,The Psychology of Money,Morgan Housel,"Health, Family & Personal Development",Personal Transformation,Paperback,₹275.00,4.6,59634,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_1318132031_d_sccl_7/000-0000000-0000000?psc=1
3057,Don't Believe Everything You Think (English),Joseph Nguyen,"Health, Family & Personal Development",Personal Transformation,Paperback,₹181.00,4.5,4360,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_g_1318132031_d_sccl_8/000-0000000-0000000?psc=1
3058,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,"Health, Family & Personal Development",Personal Transformation,Audible Audiobook,₹820.00,4.6,90104,https://www.amazon.in/Atomic-Habits-Proven-Build-Break/dp/B07J1ZBCZJ/ref=zg_bs_g_1318132031_d_sccl_9/000-0000000-0000000?psc=1
3059,"30 DAYS: Change your habits, Change your life",Marc Reklau,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹201.40,4.4,2565,https://www.amazon.in/30-DAYS-Change-your-habits-ebook/dp/B07T1P4H6R/ref=zg_bs_g_1318132031_d_sccl_10/000-0000000-0000000?psc=1
3060,Money Making Skills by Warren Buffet: Money Making Skills by Warren Buffet: A Guide to Building Wealth (Warren Buffett Investment Strategy Book),Prabhat Prakashan,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹11.80,4.1,336,https://www.amazon.in/Making-Skills-Buffett-Investment-Strategy-ebook/dp/B08D5XD8R9/ref=zg_bs_g_1318132031_d_sccl_11/000-0000000-0000000?psc=1
3061,How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,"Health, Family & Personal Development",Personal Transformation,Paperback,₹99.00,4.5,88058,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_g_1318132031_d_sccl_12/000-0000000-0000000?psc=1
3062,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,"Health, Family & Personal Development",Personal Transformation,Paperback,₹139.00,4.4,8579,https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=zg_bs_g_1318132031_d_sccl_13/000-0000000-0000000?psc=1
3063,Breakout Trading Made Easy: Maximize Your Profits with Simple Price Action Strategies,Sunil Gurjar,"Health, Family & Personal Development",Personal Transformation,Paperback,₹299.00,4.8,1408,https://www.amazon.in/Breakout-Trading-Made-Easy-Strategies/dp/8119153987/ref=zg_bs_g_1318132031_d_sccl_14/000-0000000-0000000?psc=1
3064,Make Epic Money,Ankur Warikoo,"Health, Family & Personal Development",Personal Transformation,Hardcover,₹271.00,4.1,36,https://www.amazon.in/Make-Epic-Money-Ankur-Warikoo/dp/0670099813/ref=zg_bs_g_1318132031_d_sccl_15/000-0000000-0000000?psc=1
3065,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,"Health, Family & Personal Development",Personal Transformation,Audible Audiobook,₹668.00,4.6,59634,https://www.amazon.in/Psychology-Money-Timeless-Lessons-Happiness/dp/B08D9VV926/ref=zg_bs_g_1318132031_d_sccl_16/000-0000000-0000000?psc=1
3066,Meditations,Marcus Aurelius,"Health, Family & Personal Development",Personal Transformation,Paperback,₹99.00,4.3,3149,https://www.amazon.in/Meditations-Marcus-Aurelius/dp/8175994754/ref=zg_bs_g_1318132031_d_sccl_17/000-0000000-0000000?psc=1
3067,You Can,George Matthew Adams,"Health, Family & Personal Development",Personal Transformation,Paperback,₹99.00,4.3,4843,https://www.amazon.in/You-Can-George-Matthew-Adams/dp/9389931843/ref=zg_bs_g_1318132031_d_sccl_18/000-0000000-0000000?psc=1
3068,How to Win Friends and Influence People,Dale Carnegie,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹9.00,4.5,88058,https://www.amazon.in/How-Win-Friends-Influence-People-ebook/dp/B08JLM24Q8/ref=zg_bs_g_1318132031_d_sccl_19/000-0000000-0000000?psc=1
3069,Rich Dad Poor Dad: 25th Anniversary Edit,Robert T. Kiyosaki,"Health, Family & Personal Development",Personal Transformation,Paperback,₹399.00,4.5,28063,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_g_1318132031_d_sccl_20/000-0000000-0000000?psc=1
3070,"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,"Health, Family & Personal Development",Personal Transformation,Hardcover,₹334.00,4.5,12730,https://www.amazon.in/Courage-Be-Disliked-yourself-happiness/dp/1760630721/ref=zg_bs_g_1318132031_d_sccl_21/000-0000000-0000000?psc=1
3071,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,"Health, Family & Personal Development",Personal Transformation,Audible Audiobook,₹844.00,4.4,12532,https://www.amazon.in/How-Talk-Anyone-Success-Relationships/dp/B079TJV5ZP/ref=zg_bs_g_1318132031_d_sccl_22/000-0000000-0000000?psc=1
3072,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,"Health, Family & Personal Development",Personal Transformation,Paperback,₹241.00,4.4,12532,https://www.amazon.in/How-Talk-Anyone-Success-Relationships/dp/0007272618/ref=zg_bs_g_1318132031_d_sccl_23/000-0000000-0000000?psc=1
3073,The 5 AM Club,Robin Sharma,"Health, Family & Personal Development",Personal Transformation,Paperback,₹240.00,4.5,31455,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891/ref=zg_bs_g_1318132031_d_sccl_24/000-0000000-0000000?psc=1
3074,"Energize Your Mind : Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,"Health, Family & Personal Development",Personal Transformation,Paperback,₹215.00,4.6,3306,https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_g_1318132031_d_sccl_25/000-0000000-0000000?psc=1
3075,THINK AND GROW RICH (PB),Napoleon Hill,"Health, Family & Personal Development",Personal Transformation,Paperback,₹99.00,4.4,74253,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/9353338158/ref=zg_bs_g_1318132031_d_sccl_26/000-0000000-0000000?psc=1
3076,THE 48 LAWS OF POWER,Robert Greene,"Health, Family & Personal Development",Personal Transformation,Paperback,₹559.00,4.6,19331,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_1318132031_d_sccl_27/000-0000000-0000000?psc=1
3077,Lucent General Knowledge - New Reduced Price Ediiton - 13th - Edition for 2024 Exams and Increased Number of Pages (458 Pages) - [Original Copy Only - ENGLISH MEDIUM],Binay Karna,"Health, Family & Personal Development",Personal Transformation,Perfect Paperback,₹236.00,4.2,45,https://www.amazon.in/Lucent-General-Knowledge-Increased-Original/dp/B0CK5YGS41/ref=zg_bs_g_1318132031_d_sccl_28/000-0000000-0000000?psc=1
3078,The Power of A Positive Attitude: Your Road To Success,Roger Fritz,"Health, Family & Personal Development",Personal Transformation,Paperback,₹99.00,4.4,4421,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_g_1318132031_d_sccl_29/000-0000000-0000000?psc=1
3079,Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,"Health, Family & Personal Development",Personal Transformation,Audible Audiobook,₹615.00,4.6,52889,https://www.amazon.in/Ikigai-Japanese-Secret-Long-Happy/dp/B0759S1XZQ/ref=zg_bs_g_1318132031_d_sccl_30/000-0000000-0000000?psc=1
3080,Aapke Avchetan Mann Ki Shakti (The Power Of Your Subconscious Mind In Hindi),Joseph Murphy,"Health, Family & Personal Development",Personal Transformation,Paperback,₹99.00,4.4,14114,https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669/ref=zg_bs_g_1318132031_d_sccl_1/000-0000000-0000000?psc=1
3081,Don't Believe Everything You Think: Why Your Thinking Is the Beginning & End of Suffering,Joseph Nguyen,"Health, Family & Personal Development",Personal Transformation,Audible Audiobook,₹233.00,4.5,4360,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/B09XVK5493/ref=zg_bs_g_1318132031_d_sccl_2/000-0000000-0000000?psc=1
3082,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,"Health, Family & Personal Development",Personal Transformation,Paperback,₹206.00,4.5,84339,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318132031_d_sccl_3/000-0000000-0000000?psc=1
3083,The Art of Laziness: Overcome Procrastination & Improve Your Productivity,Library Mindset,"Health, Family & Personal Development",Personal Transformation,Paperback,₹179.00,4.4,781,https://www.amazon.in/Art-Laziness-Overcome-Procrastination-Productivity/dp/B0CPY66W3M/ref=zg_bs_g_1318132031_d_sccl_4/000-0000000-0000000?psc=1
3084,"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",Morgan Housel,"Health, Family & Personal Development",Personal Transformation,Paperback,₹297.00,4.4,1473,https://www.amazon.in/Same-As-Ever-Timeless-Opportunity/dp/1804090948/ref=zg_bs_g_1318132031_d_sccl_5/000-0000000-0000000?psc=1
3085,"Think Straight: Change your thoughts, Change your life [Paperback] Foroux, Darius",Darius Foroux,"Health, Family & Personal Development",Personal Transformation,Paperback,₹139.00,4.2,13062,https://www.amazon.in/Think-Straight-Change-your-thoughts/dp/0143452134/ref=zg_bs_g_1318132031_d_sccl_6/000-0000000-0000000?psc=1
3086,"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home",Renuka Gavrani,"Health, Family & Personal Development",Personal Transformation,Paperback,₹192.00,4.4,598,https://www.amazon.in/Art-Being-Alone-Loneliness-Solitude/dp/9355434022/ref=zg_bs_g_1318132031_d_sccl_7/000-0000000-0000000?psc=1
3087,Life is Short And So Is This Book: Brief Thoughts On Making The Most Of Your Life,Peter Atkins,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹210.00,4.3,2813,https://www.amazon.in/Life-Short-So-This-Book-ebook/dp/B004R9QIO2/ref=zg_bs_g_1318132031_d_sccl_8/000-0000000-0000000?psc=1
3088,Master Your Thinking: A Practical Guide to Align Yourself with Reality and Achieve Tangible Results in the Real World (Mastery Series Book 5),Thibaut Meurisse,"Health, Family & Personal Development",Personal Transformation,Kindle Edition,₹223.00,4.5,640,https://www.amazon.in/Master-Your-Thinking-Practical-Yourself-ebook/dp/B0874WBM3D/ref=zg_bs_g_1318132031_d_sccl_9/000-0000000-0000000?psc=1
3089,Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert Kiyosaki,"Health, Family & Personal Development",Personal Transformation,Paperback,₹322.00,4.5,16061,https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_g_1318132031_d_sccl_10/000-0000000-0000000?psc=1
3090,"Thinking, Fast & Slow (L)",Daniel Kahneman,"Health, Family & Personal Development",Personal Transformation,Paperback,₹464.00,4.5,29338,https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_g_1318132031_d_sccl_11/000-0000000-0000000?psc=1
3091,The Monk Who Sold His Ferrari,Robin Sharma,"Health, Family & Personal Development",Personal Transformation,Paperback,₹185.95,4.5,33315,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X/ref=zg_bs_g_1318132031_d_sccl_12/000-0000000-0000000?psc=1
3092,"Spiritual Anatomy: Meditation, Chakras, and the Journey to the Center",Daaji Kamlesh D. Patel,"Health, Family & Personal Development",Personal Transformation,Hardcover,₹324.00,4.8,100,https://www.amazon.in/Spiritual-Anatomy-Meditation-Chakras-Journey/dp/9356997799/ref=zg_bs_g_1318132031_d_sccl_13/000-0000000-0000000?psc=1
3093,Manifest,Roxie Nafousi,"Health, Family & Personal Development",Personal Transformation,Hardcover,₹334.00,4.6,3641,https://www.amazon.in/Manifest-Sunday-Times-bestseller-change/dp/0241539595/ref=zg_bs_g_1318132031_d_sccl_14/000-0000000-0000000?psc=1
3094,LIFES AMAZING SECRETS,Gaur Gopal Das,"Health, Family & Personal Development",Personal Transformation,Paperback,₹207.00,4.6,23161,https://www.amazon.in/LIFES-AMAZING-SECRETS-Gaur-Gopal/dp/0143442295/ref=zg_bs_g_1318132031_d_sccl_15/000-0000000-0000000?psc=1
3095,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,"Health, Family & Personal Development",Personal Transformation,Paperback,₹157.00,4.5,24554,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=zg_bs_g_1318132031_d_sccl_16/000-0000000-0000000?psc=1
3096,"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,"Health, Family & Personal Development",Personal Transformation,Audible Audiobook,"₹1,063.00",4.5,12730,https://www.amazon.in/Courage-Be-Disliked-Yourself-Happiness/dp/B079MBMBJK/ref=zg_bs_g_1318132031_d_sccl_17/000-0000000-0000000?psc=1
3097,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Health, Family & Personal Development",Personal Transformation,Audible Audiobook,"₹1,238.00",4.5,141395,https://www.amazon.in/Subtle-Art-Not-Giving-Counterintuitive/dp/B079BN6M71/ref=zg_bs_g_1318132031_d_sccl_18/000-0000000-0000000?psc=1
3098,YOU ONLY LIVE ONCE,STUTI CHANGLE,"Health, Family & Personal Development",Personal Transformation,Paperback,₹164.00,4.4,3796,https://www.amazon.in/ONLY-LIVE-ONCE-STUTI-CHANGLE/dp/0143453580/ref=zg_bs_g_1318132031_d_sccl_19/000-0000000-0000000?psc=1
3099,"Atomic Habits: Chote Badlav, Asadharan Parinaam - Hindi",Sudhir Dixit,"Health, Family & Personal Development",Personal Transformation,Paperback,₹244.00,4.5,3470,https://www.amazon.in/Atomic-Habits-Badlav-Asadharan-Parinaam/dp/939008525X/ref=zg_bs_g_1318132031_d_sccl_20/000-0000000-0000000?psc=1
3100,How to Finish Everything You Start,Jan Yager,"Health, Family & Personal Development",Self-Help,Kindle Edition,₹228.00,4.1,230,https://www.amazon.in/How-Finish-Everything-You-Start-ebook/dp/B07MB1C99V/ref=zg_bs_g_23033695031_d_sccl_1/000-0000000-0000000?psc=1
